Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EXN,Excellon Resources Inc. Common Shares,$2.08,-0.05,-2.347%,68148051.00,,2020,35140,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.36,0.00,0.00%,1079953553.00,United States,1986,359584,Finance,Investment Managers
FCO,Aberdeen Global Income Fund Inc. Common Stock,$9.50,0.08,0.849%,83030456.00,United States,1992,45658,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$13.81,-0.31,-2.195%,268543322.00,United States,2004,69372,Finance,Finance/Investors Services
FRD,Friedman Industries Inc. Common Stock,$13.01,-0.18,-1.365%,89762976.00,United States,,12039,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.77,0.01,0.266%,46430362.00,Canada,,12875,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$4.85,-0.12,-2.414%,520864601.00,United States,,195457,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.28,-0.02,-0.215%,279688389.00,United States,2003,156987,Finance,Finance/Investors Services
FTSI,FTS International Inc. Class A Common Stock,$21.80,1.17,5.671%,304981346.00,United States,2020,64406,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$0.9013,-0.0527,-5.524%,106290970.00,,2020,237555,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$0.89,-0.0311,-3.376%,199959078.00,Canada,,544207,Basic Industries,Precious Metals
GBR,New Concept Energy Inc Common Stock,$4.45,0.02,0.451%,22837106.00,United States,,66025,Consumer Services,Real Estate
GDP,Goodrich Petroleum Corporation Common Stock,$15.71,-0.43,-2.664%,210549992.00,United States,2017,35523,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.85,-0.08,-2.036%,592823520.00,United States,2005,1325900,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.47,-0.03,-0.118%,,United States,,7300,,
GLDG,GoldMining Inc. Common Shares,$1.20,-0.06,-4.762%,179498444.00,,,296413,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.87,-0.03,-0.233%,418386081.00,United States,2006,203509,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.69,0.03,0.192%,212696386.00,United States,2005,75237,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$21.55,-0.38,-1.733%,115800606.00,United States,2004,15086,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$46.9437,-0.223,-0.473%,,United States,,439,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$51.54,-0.11,-0.213%,,United States,,2300,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.68,0.04,0.344%,100900098.00,United States,2004,69117,Finance,Finance/Investors Services
GOED,1847 Goedeker Inc. Commom Stock,$2.89,-0.03,-1.027%,298011841.00,United States,2020,1730886,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$1.83,-0.10,-5.181%,136393421.00,United States,,1978644,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.4834,-0.0461,-8.706%,172342735.00,Canada,,3814605,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.15,0.00,0.00%,37280037.00,United States,,93429,Finance,Finance/Investors Services
GROY,Gold Royalty Corp. Common Shares,$5.00,-0.12,-2.344%,208106735.00,,2021,145713,Basic Industries,Other Metals and Minerals
GSAT,Globalstar Inc. Common Stock,$1.42,0.04,2.899%,2546060000.00,United States,2006,5670092,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$2.17,-0.12,-5.24%,251123352.00,United States,,431341,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.5251,-0.0098,-1.832%,187710755.00,Canada,,738524,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.5449,-0.019,-3.369%,199973825.00,Canada,,3764024,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$25.07,0.00,0.00%,,United States,,27481,,
HMG,HMG/Courtland Properties Inc. Common Stock,$16.9236,0.00,0.00%,17046262.00,United States,,19,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Fund Inc.,$15.45,0.00,0.00%,128741606.00,United States,2007,31141,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.68,-0.03,-1.754%,16671208.00,United States,,185862,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$78.20,0.00,0.00%,,United States,,64,,
